Step,HitCount,MissCount,AMAT,MissRatio
10,7,3,3.07e-06,0.3
20,15,5,5.15e-06,0.25
30,22,8,8.22e-06,0.266667
40,30,10,1.03e-05,0.25
50,37,13,1.337e-05,0.26
60,45,15,1.545e-05,0.25
70,52,18,1.852e-05,0.257143
80,60,20,2.06e-05,0.25
90,67,23,2.367e-05,0.255556
100,75,25,2.575e-05,0.25
110,82,28,2.882e-05,0.254545
120,90,30,3.09e-05,0.25
130,97,33,3.397e-05,0.253846
140,105,35,3.605e-05,0.25
150,112,38,3.912e-05,0.253333
160,120,40,4.12e-05,0.25
170,127,43,4.427e-05,0.252941
180,135,45,4.635e-05,0.25
190,142,48,4.942e-05,0.252632
200,150,50,5.15e-05,0.25
210,157,53,5.457e-05,0.252381
220,165,55,5.665e-05,0.25
230,172,58,5.972e-05,0.252174
240,180,60,6.18e-05,0.25
250,187,63,6.487e-05,0.252
260,195,65,6.695e-05,0.25
270,202,68,7.002e-05,0.251852
280,210,70,7.21e-05,0.25
290,217,73,7.517e-05,0.251724
300,225,75,7.725e-05,0.25
310,232,78,8.032e-05,0.251613
320,240,80,8.24e-05,0.25
330,247,83,8.547e-05,0.251515
340,255,85,8.755e-05,0.25
350,262,88,9.062e-05,0.251429
360,270,90,9.27e-05,0.25
370,277,93,9.577e-05,0.251351
380,285,95,9.785e-05,0.25
390,292,98,0.00010092,0.251282
400,300,100,0.000103,0.25
410,307,103,0.00010607,0.25122
420,315,105,0.00010815,0.25
430,322,108,0.00011122,0.251163
440,330,110,0.0001133,0.25
450,337,113,0.00011637,0.251111
460,345,115,0.00011845,0.25
470,352,118,0.00012152,0.251064
480,360,120,0.0001236,0.25
490,367,123,0.00012667,0.25102
500,375,125,0.00012875,0.25
510,382,128,0.00013182,0.25098
520,390,130,0.0001339,0.25
530,397,133,0.00013697,0.250943
540,405,135,0.00013905,0.25
550,412,138,0.00014212,0.250909
560,420,140,0.0001442,0.25
570,427,143,0.00014727,0.250877
580,435,145,0.00014935,0.25
590,442,148,0.00015242,0.250847
600,450,150,0.0001545,0.25
610,457,153,0.00015757,0.25082
620,465,155,0.00015965,0.25
630,472,158,0.00016272,0.250794
640,480,160,0.0001648,0.25
650,487,163,0.00016787,0.250769
660,495,165,0.00016995,0.25
670,502,168,0.00017302,0.250746
680,510,170,0.0001751,0.25
690,517,173,0.00017817,0.250725
700,525,175,0.00018025,0.25
710,532,178,0.00018332,0.250704
720,540,180,0.0001854,0.25
730,547,183,0.00018847,0.250685
740,555,185,0.00019055,0.25
750,562,188,0.00019362,0.250667
760,570,190,0.0001957,0.25
770,577,193,0.00019877,0.250649
780,585,195,0.00020085,0.25
790,592,198,0.00020392,0.250633
800,600,200,0.000206,0.25
810,607,203,0.00020907,0.250617
820,615,205,0.00021115,0.25
830,622,208,0.00021422,0.250602
840,630,210,0.0002163,0.25
850,637,213,0.00021937,0.250588
860,645,215,0.00022145,0.25
870,652,218,0.00022452,0.250575
880,660,220,0.0002266,0.25
890,667,223,0.00022967,0.250562
900,675,225,0.00023175,0.25
910,682,228,0.00023482,0.250549
920,690,230,0.0002369,0.25
930,697,233,0.00023997,0.250538
940,705,235,0.00024205,0.25
950,712,238,0.00024512,0.250526
960,720,240,0.0002472,0.25
970,727,243,0.00025027,0.250515
980,735,245,0.00025235,0.25
990,742,248,0.00025542,0.250505
